,Amino acid metabolism,Biosynthesis of other secondary metabolites,Carbohydrate metabolism,Chemical structure transformation maps,Energy metabolism,Global and overview maps,Glycan biosynthesis and metabolism,Lipid metabolism,Metabolism of cofactors and vitamins,Metabolism of other amino acids,Metabolism of terpenoids and polyketides,Nucleotide metabolism,Xenobiotics biodegradation and metabolism
145,ec:1.14.11.2,,ec:2.4.1.13,,,ec:1.3.1.3,,,ec:1.2.3.1,,,,
146,ec:1.1.1.35,,ec:2.3.1.12,,,ec:1.17.4.2,,,ec:2.1.1.95,,,,
147,ec:1.1.99.1,,ec:3.2.1.20,,,ec:1.3.5.5,,,ec:2.6.1.62,,,,
148,ec:1.2.1.8,,ec:2.3.3.9,,,ec:1.3.98.3,,,ec:3.2.1.31,,,,
149,ec:4.3.1.24,,ec:1.2.4.2,,,ec:1.1.1.294,,,ec:1.3.3.4,,,,
150,ec:2.7.3.2,,ec:5.1.3.6,,,ec:1.2.1.71,,,ec:4.1.1.37,,,,
151,ec:2.6.1.2,,ec:2.4.1.123,,,ec:2.1.1.13,,,ec:1.3.98.3,,,,
152,ec:1.14.14.1,,ec:1.1.1.2,,,ec:1.2.1.19,,,ec:6.2.1.12,,,,
153,ec:2.6.1.82,,ec:4.1.2.9,,,ec:2.1.1.295,,,ec:1.1.1.294,,,,
154,ec:3.5.1.16,,ec:2.7.1.105,,,ec:1.1.1.79,,,ec:2.1.1.13,,,,
155,ec:2.3.1.29,,ec:3.1.3.46,,,ec:1.1.1.81,,,ec:2.1.1.295,,,,
156,ec:1.1.1.95,,ec:5.4.99.1,,,ec:1.14.13.168,,,ec:4.2.1.75,,,,
157,ec:1.2.4.2,,ec:1.1.1.6,,,ec:1.10.2.2,,,ec:4.1.1.90,,,,
158,ec:4.2.1.51,,ec:5.3.1.8,,,ec:1.1.5.4,,,ec:5.4.4.2,,,,
159,ec:6.4.1.4,,ec:1.1.1.80,,,ec:1.2.1.9,,,ec:4.3.1.4,,,,
160,ec:2.6.1.66,,ec:3.2.1.15,,,ec:1.5.1.8,,,ec:3.5.1.19,,,,
161,ec:2.3.3.10,,ec:3.2.1.58,,,ec:1.5.1.9,,,ec:2.3.1.76,,,,
162,ec:6.2.1.30,,ec:3.1.3.12,,,ec:1.3.2.3,,,ec:3.6.1.67,,,,
163,ec:4.4.1.14,,ec:3.2.1.91,,,ec:1.3.98.1,,,ec:3.1.1.85,,,,
164,ec:1.14.13.39,,ec:5.1.3.18,,,ec:1.3.8.9,,,,,,,
165,ec:3.1.3.77,,ec:2.7.1.90,,,ec:1.1.1.239,,,,,,,
166,ec:3.5.1.4,,ec:6.2.1.1,,,ec:1.1.1.62,,,,,,,
167,ec:1.3.1.12,,ec:1.2.4.1,,,ec:1.8.99.2,,,,,,,
168,ec:2.6.1.44,,ec:3.2.1.39,,,,,,,,,,
169,ec:1.13.11.27,,ec:3.5.1.25,,,,,,,,,,
170,ec:1.1.1.381,,ec:3.13.1.1,,,,,,,,,,
171,ec:1.4.3.22,,ec:4.2.2.2,,,,,,,,,,
172,ec:3.4.13.18,,ec:1.3.1.95,,,,,,,,,,
173,ec:1.13.11.20,,ec:3.1.3.10,,,,,,,,,,
174,ec:4.4.1.28,,ec:2.7.1.60,,,,,,,,,,
175,ec:1.14.17.4,,ec:3.1.2.1,,,,,,,,,,
176,ec:2.3.1.57,,ec:4.2.1.6,,,,,,,,,,
177,ec:1.13.11.54,,ec:4.2.1.7,,,,,,,,,,
178,ec:3.5.3.23,,ec:1.1.1.305,,,,,,,,,,
179,ec:4.4.1.24,,ec:2.1.2.13,,,,,,,,,,
180,ec:5.3.2.1,,ec:1.1.5.12,,,,,,,,,,
181,ec:5.3.3.12,,ec:1.6.2.2,,,,,,,,,,
182,ec:2.3.1.37,,ec:1.1.1.45,,,,,,,,,,
183,ec:3.5.1.3,,ec:3.1.2.4,,,,,,,,,,
184,ec:3.5.3.8,,ec:2.4.1.14,,,,,,,,,,
185,ec:1.2.3.1,,ec:4.2.1.115,,,,,,,,,,
186,ec:1.13.11.5,,ec:2.7.1.2,,,,,,,,,,
187,ec:3.5.1.14,,ec:4.1.1.35,,,,,,,,,,
188,ec:3.5.5.1,,ec:5.1.3.7,,,,,,,,,,
189,ec:3.1.2.4,,ec:3.2.1.31,,,,,,,,,,
190,ec:3.7.1.2,,ec:3.5.1.49,,,,,,,,,,
191,ec:2.1.1.10,,ec:2.4.1.5,,,,,,,,,,
192,ec:4.2.1.91,,ec:2.3.1.61,,,,,,,,,,
193,ec:1.21.4.1,,ec:5.1.3.15,,,,,,,,,,
194,ec:3.4.17.21,,ec:4.1.2.17,,,,,,,,,,
195,ec:4.1.1.25,,ec:2.4.99.16,,,,,,,,,,
196,ec:6.3.2.38,,ec:3.2.1.68,,,,,,,,,,
197,ec:6.3.2.10,,ec:4.1.1.85,,,,,,,,,,
198,ec:2.3.1.61,,ec:2.7.1.51,,,,,,,,,,
199,ec:3.7.1.3,,ec:2.7.1.4,,,,,,,,,,
200,ec:1.8.4.13,,ec:2.7.7.69,,,,,,,,,,
201,ec:4.4.1.15,,ec:5.3.1.22,,,,,,,,,,
202,ec:1.14.13.59,,ec:4.1.1.1,,,,,,,,,,
203,ec:2.3.1.102,,ec:1.1.1.79,,,,,,,,,,
204,ec:6.2.1.12,,ec:1.1.1.81,,,,,,,,,,
205,ec:1.2.1.71,,ec:1.4.7.1,,,,,,,,,,
206,ec:2.1.1.13,,ec:1.1.5.4,,,,,,,,,,
207,ec:1.2.1.19,,ec:2.6.1.4,,,,,,,,,,
208,ec:4.1.1.17,,ec:1.13.99.1,,,,,,,,,,
209,ec:1.1.1.81,,ec:1.2.1.9,,,,,,,,,,
210,ec:1.14.13.168,,ec:2.7.1.52,,,,,,,,,,
211,ec:2.6.1.96,,ec:2.7.7.30,,,,,,,,,,
212,ec:2.6.1.4,,ec:1.3.2.3,,,,,,,,,,
213,ec:1.5.1.8,,ec:3.1.3.22,,,,,,,,,,
214,ec:1.5.1.9,,ec:4.1.2.53,,,,,,,,,,
215,ec:2.4.2.28,,ec:2.7.7.64,,,,,,,,,,
216,ec:2.6.1.81,,ec:2.7.1.58,,,,,,,,,,
217,ec:2.6.1.51,,ec:2.3.3.14,,,,,,,,,,
218,ec:2.8.1.2,,,,,,,,,,,,
219,ec:2.6.1.7,,,,,,,,,,,,
220,ec:1.11.1.21,,,,,,,,,,,,
221,ec:2.3.3.14,,,,,,,,,,,,
count,222,40,218,1,115,168,68,102,164,63,40,87,45
total for category,587,427,588,1,247,588,181,330,423,193,408,157,296
% coverage,37.82,9.37,37.07,100.0,46.56,28.57,37.57,30.91,38.77,32.64,9.8,55.41,15.2
